NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06189209,Efficacy and Safety of Tenalisib in Patients With Metastatic Triple Negative Breast Cancer (TNBC),https://clinicaltrials.gov/study/NCT06189209,RECRUITING,Triple Negative Breast Cancer (TNBC),DRUG: Tenalisib,Rhizen Pharmaceuticals SA,Incozen Therapeutics Pvt Ltd,INTERVENTIONAL
NCT07005583,Clinical Study of QL1706 in Combination With Olaparib for the Treatment of Patients With Previously Treated Homologous Recombination Repair-Deficient Recurrent or Metastatic Triple-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT07005583,NOT_YET_RECRUITING,Triple-Negative Breast Cancer (TNBC),DRUG: QL1706 Plus Olaparib,Tianjin Medical University Cancer Institute and Hospital,,INTERVENTIONAL
NCT04547907,A Comparison of Nab-PHP and TCbHP Efficacy in Neoadjuvant Therapy for HER2-positive Early Breast Cancer,https://clinicaltrials.gov/study/NCT04547907,RECRUITING,"Breast Cancer,HER2-positive",DRUG: Nab-paclitaxel+ trastuzumab+ patuzumab|DRUG: Docetaxel+ carboplatin+ trastuzumab + patuzumab,Henan Cancer Hospital,,INTERVENTIONAL
NCT04739670,"Evaluating the Efficacy and Safety of Bevacizumab, Carboplatin, Gemcitabine and Atezolizumab in Breast Cancer",https://clinicaltrials.gov/study/NCT04739670,RECRUITING,Metastatic Triple Negative Breast Cancer,DRUG: Atezolizumab|DRUG: Bevacizumab|DRUG: Gemcitabine|DRUG: Carboplatin,"Peter MacCallum Cancer Centre, Australia",,INTERVENTIONAL
NCT06682195,Neoadjuvant Chemotherapy Combined With Toripalimab for TNBC (NEOTORCH-BREAST02),https://clinicaltrials.gov/study/NCT06682195,RECRUITING,"TNBC, Triple Negative Breast Cancer",DRUG: Neoadjuvant chemotherapy combined with Toripalimab,First Affiliated Hospital of Zhejiang University,,INTERVENTIONAL
NCT06735131,The Optimal Radioimmunotherapy Combinations for Advanced TNBC,https://clinicaltrials.gov/study/NCT06735131,RECRUITING,Triple-Negative Breast Cancer (TNBC),"RADIATION: radiotherapy 5 Gy × 5 fractions, once a day|RADIATION: radiotherapy 8 Gy × 5 fractions, once a day|RADIATION: radiotherapy 8 Gy × 3 fractions, once every other day|RADIATION: radiotherapy 10 Gy× 3 fractions, once every other day|RADIATION: radiotehrapy 0.5Gy twice-a-day × 2 days, repeat for 4 cycles (total 8Gy)|DRUG: Toripalimab|DRUG: chemotherapy regimen selected by the investigator",Sun Yat-sen University,West China Hospital|First Affiliated Hospital Xi'an Jiaotong University,INTERVENTIONAL
NCT05582538,Restoring Sensitivity To Immunotherapy In Advanced Triple Negative Breast Cancer Exploiting Ceralasertib Priming Followed By Combined Durvalumab/Nab-Paclitaxel,https://clinicaltrials.gov/study/NCT05582538,RECRUITING,Triple Negative Breast Cancer Metastatic,DRUG: Ceralasertib|DRUG: Durvalumab|DRUG: Nab-paclitaxel,IFOM ETS - The AIRC Institute of Molecular Oncology,AstraZeneca,INTERVENTIONAL
NCT06059469,PSMA-PET/CT to Assess the Expression of Specific Membrane Antigen (PSMA) in Patients With Progressive Triple-negative Breast Cancer.,https://clinicaltrials.gov/study/NCT06059469,RECRUITING,TNBC - Triple-Negative Breast Cancer,DIAGNOSTIC_TEST: Ga-PSMA PET/CT,Jules Bordet Institute,,INTERVENTIONAL
NCT05472792,Compare Adjuvant Monotherapy With Endocrine or Accelerated Partial Breast Irradiation After Lumpectomy,https://clinicaltrials.gov/study/NCT05472792,RECRUITING,Breast Cancer|Quality of Life,"RADIATION: Accelerated Partial Breast Irradiation (APBI)|DRUG: tamoxifen, anastrozole, exemestane, letrozole, fulvestrant, toremifene",UNC Lineberger Comprehensive Cancer Center,,INTERVENTIONAL
NCT06125080,"The Efficacy and Safety of Utidelone Plus Tirelizumab and Bevacizumab for Advanced or Metastatic Triple-negative Breast Cancer (UTILIZABLE) ：Single-arm, Prospective, Open Clinical Study",https://clinicaltrials.gov/study/NCT06125080,RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: Utidelone|DRUG: Tirelizumab|DRUG: Bevacizumab,Huihua Xiong,,INTERVENTIONAL
